SUBJECT,Subject,LOCATION,Country,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Oct-12,Oct-12,PC,Percentage,0,Units,,,2.97,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Nov-12,Nov-12,PC,Percentage,0,Units,,,2.99,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Dec-12,Dec-12,PC,Percentage,0,Units,,,3.13,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jan-13,Jan-13,PC,Percentage,0,Units,,,3.05,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Feb-13,Feb-13,PC,Percentage,0,Units,,,3.04,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Mar-13,Mar-13,PC,Percentage,0,Units,,,2.91,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Apr-13,Apr-13,PC,Percentage,0,Units,,,2.84,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,May-13,May-13,PC,Percentage,0,Units,,,2.9,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jun-13,Jun-13,PC,Percentage,0,Units,,,3.31,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jul-13,Jul-13,PC,Percentage,0,Units,,,3.47,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Aug-13,Aug-13,PC,Percentage,0,Units,,,3.61,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Sep-13,Sep-13,PC,Percentage,0,Units,,,3.53,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Oct-13,Oct-13,PC,Percentage,0,Units,,,3.44,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Nov-13,Nov-13,PC,Percentage,0,Units,,,3.584,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Dec-13,Dec-13,PC,Percentage,0,Units,,,3.653,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jan-14,Jan-14,PC,Percentage,0,Units,,,3.647,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Feb-14,Feb-14,PC,Percentage,0,Units,,,3.522,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Mar-14,Mar-14,PC,Percentage,0,Units,,,3.543,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Apr-14,Apr-14,PC,Percentage,0,Units,,,3.54,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,May-14,May-14,PC,Percentage,0,Units,,,3.402,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jun-14,Jun-14,PC,Percentage,0,Units,,,3.286,,
IRLT,"Long-term interest rates, Per cent per annum",KOR,Korea,M,Monthly,Jul-14,Jul-14,PC,Percentage,0,Units,,,3.056,,
